compound_name,amendment,rf
L-Glutamic acid/beta-Glutamic acid,Amm,113088.49491522863
L-Glutamic acid/beta-Glutamic acid,GMP,212529.98579541937
L-Glutamic acid/beta-Glutamic acid,Arg,252769.33821893157
Hydroxyisoleucine,Nit,319765.6847822027
Hydroxyisoleucine,Amm,273795.10674657946
Hydroxyisoleucine,GMP,404912.48072770203
Hydroxyisoleucine,Arg,402825.2566154287
L-Methionine,Nit,727545.6357279037
L-Methionine,Amm,455692.0907589339
L-Methionine,GMP,802274.3189773745
L-Methionine,Arg,1268417.8928363193
Guanine,Nit,528035.4811135926
Guanine,Amm,637215.9695067577
Guanine,GMP,1150288.1708040973
Guanine,Arg,797028.4300135053
L-Histidine,Nit,1976956.5283194685
L-Histidine,Amm,812459.2748820428
L-Histidine,GMP,1397722.5263212584
L-Histidine,Arg,2175467.0548084276
5-Hydroxyectoine,Nit,22811440.555514723
5-Hydroxyectoine,Amm,17186677.469873175
5-Hydroxyectoine,GMP,25407548.748652197
5-Hydroxyectoine,Arg,23669798.97164506
Betonicine,Nit,5299160.384898594
Betonicine,Amm,6338509.669960579
Betonicine,GMP,8356726.026602143
Betonicine,Arg,7057532.491160681
Carnitine,Nit,8194798.454404422
Carnitine,Amm,6574679.105373466
Carnitine,GMP,9478339.404820677
Carnitine,Arg,11159259.874867069
Glycerophosphoric acid,Nit,92383.84372626398
Glycerophosphoric acid,Amm,69381.17163151015
Glycerophosphoric acid,GMP,102682.25280361544
Glycerophosphoric acid,Arg,123493.38274780542
L-Arginine,Nit,552059.34261579
L-Arginine,Amm,222161.51135108626
L-Arginine,GMP,346322.2086982077
L-Arginine,Arg,357259.2436086357
Citrulline,Nit,722423.9355382826
Citrulline,Amm,262566.2349831059
Citrulline,GMP,581957.7347835755
Citrulline,Arg,654756.3618707204
Arsenobetaine,Nit,3524094.9951936468
Arsenobetaine,Amm,4151346.7162763937
Arsenobetaine,GMP,6780660.745893557
Arsenobetaine,Arg,6766786.997772787
