amendment,filename,compound_name,polarity,area
Amm,210916_Smp_Amm-Deep-Eve-T10-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,41691.14949005623
Amm,210916_Smp_Amm-Deep-Eve-T10-B-noIS-pos.mzML,"Taurine, 2H4",pos,49992.548307648874
Amm,210916_Smp_Amm-Deep-Eve-T10-C-noIS-neg.mzML,"Taurine, 2H4",neg,139186.80551118468
Amm,210916_Smp_Amm-Deep-Eve-T10-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,46350.63338774833
Amm,210916_Smp_Amm-Deep-Eve-T10-C-noIS-pos.mzML,"Taurine, 2H4",pos,43154.93897101949
Amm,210916_Smp_Amm-Deep-Eve-T26-A-noIS-neg.mzML,"Taurine, 2H4",neg,150232.1367592906
Amm,210916_Smp_Amm-Deep-Eve-T26-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,36890.25815465776
Amm,210916_Smp_Amm-Deep-Eve-T26-A-noIS-pos.mzML,"Taurine, 2H4",pos,44680.23563967881
Amm,210916_Smp_Amm-Deep-Eve-T26-B-noIS-neg.mzML,"Taurine, 2H4",neg,168765.59085287718
Amm,210916_Smp_Amm-Deep-Eve-T26-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,50184.692911963655
Amm,210916_Smp_Amm-Deep-Eve-T26-B-noIS-pos.mzML,"Taurine, 2H4",pos,59864.12596914569
Amm,210916_Smp_Amm-Deep-Eve-T26-C-noIS-neg.mzML,"Taurine, 2H4",neg,147540.4206312047
Amm,210916_Smp_Amm-Deep-Eve-T26-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,41914.57466227246
Amm,210916_Smp_Amm-Deep-Eve-T26-C-noIS-pos.mzML,"Taurine, 2H4",pos,55241.63020522715
Amm,210916_Smp_Amm-Deep-Eve-T3-A-noIS-neg.mzML,"Taurine, 2H4",neg,185125.76126867873
Amm,210916_Smp_Amm-Deep-Eve-T3-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,51887.24617960992
Amm,210916_Smp_Amm-Deep-Eve-T3-A-noIS-pos.mzML,"Taurine, 2H4",pos,67496.22939983408
Amm,210916_Smp_Amm-Deep-Eve-T3-B-noIS-neg.mzML,"Taurine, 2H4",neg,196167.92056268698
Amm,210916_Smp_Amm-Deep-Eve-T3-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,52664.19231256741
Amm,210916_Smp_Amm-Deep-Eve-T3-B-noIS-pos.mzML,"Taurine, 2H4",pos,73283.7006697715
Amm,210916_Smp_Amm-Deep-Eve-T3-C-noIS-neg.mzML,"Taurine, 2H4",neg,208715.8992857787
Amm,210916_Smp_Amm-Deep-Eve-T3-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,50110.29937327958
Amm,210916_Smp_Amm-Deep-Eve-T3-C-noIS-pos.mzML,"Taurine, 2H4",pos,78294.48194737121
Amm,210916_Smp_Amm-Deep-Morn-T0-A-noIS-neg.mzML,"Taurine, 2H4",neg,148850.57953860762
Amm,210916_Smp_Amm-Deep-Morn-T0-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,39483.86686937573
Amm,210916_Smp_Amm-Deep-Morn-T0-A-noIS-pos.mzML,"Taurine, 2H4",pos,43133.87418808757
Amm,210916_Smp_Amm-Deep-Morn-T0-B-noIS-neg.mzML,"Taurine, 2H4",neg,149665.11178279796
Amm,210916_Smp_Amm-Deep-Morn-T0-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,39487.0319119099
Amm,210916_Smp_Amm-Deep-Morn-T0-B-noIS-pos.mzML,"Taurine, 2H4",pos,47021.301083444734
Amm,210916_Smp_Amm-Deep-Morn-T0-C-noIS-neg.mzML,"Taurine, 2H4",neg,252869.98837763304
Amm,210916_Smp_Amm-Deep-Morn-T0-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,62069.41315559216
Amm,210916_Smp_Amm-Deep-Morn-T0-C-noIS-pos.mzML,"Taurine, 2H4",pos,93866.16973868656
Amm,210916_Smp_Amm-Deep-Morn-T1-A-noIS-neg.mzML,"Taurine, 2H4",neg,126864.36005335207
Amm,210916_Smp_Amm-Deep-Morn-T1-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,30867.736751377037
Amm,210916_Smp_Amm-Deep-Morn-T1-A-noIS-pos.mzML,"Taurine, 2H4",pos,39873.93748318419
Amm,210916_Smp_Amm-Deep-Morn-T1-B-noIS-neg.mzML,"Taurine, 2H4",neg,152735.6409494266
Amm,210916_Smp_Amm-Deep-Morn-T1-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,42198.18402424474
Amm,210916_Smp_Amm-Deep-Morn-T1-B-noIS-pos.mzML,"Taurine, 2H4",pos,49670.69648635631
Amm,210916_Smp_Amm-Deep-Morn-T1-C-noIS-neg.mzML,"Taurine, 2H4",neg,242544.58882319697
Amm,210916_Smp_Amm-Deep-Morn-T1-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,57961.53103927358
Amm,210916_Smp_Amm-Deep-Morn-T1-C-noIS-pos.mzML,"Taurine, 2H4",pos,91565.60535757296
Amm,210916_Smp_Amm-Deep-Morn-T10-A-noIS-neg.mzML,"Taurine, 2H4",neg,146510.06414035027
Amm,210916_Smp_Amm-Deep-Morn-T10-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,64026.82382131338
Amm,210916_Smp_Amm-Deep-Morn-T10-A-noIS-pos.mzML,"Taurine, 2H4",pos,52676.774187649695
Amm,210916_Smp_Amm-Deep-Morn-T10-B-noIS-neg.mzML,"Taurine, 2H4",neg,159643.79669257044
