filepath,filename,shortname,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T26-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T26-C-noIS-neg.mzML,Nit-Deep-Eve-T26-C.mzML,noIS,neg,Nit,Deep,Eve,T26,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T26-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T26-C-wIS.mzML,Nit-Deep-Eve-T26-C.mzML,wIS,neg,Nit,Deep,Eve,T26,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T3-A-noIS-neg.mzML,Nit-Deep-Eve-T3-A.mzML,noIS,neg,Nit,Deep,Eve,T3,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-A-wIS.mzML,Nit-Deep-Eve-T3-A.mzML,wIS,neg,Nit,Deep,Eve,T3,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T3-B-noIS-neg.mzML,Nit-Deep-Eve-T3-B.mzML,noIS,neg,Nit,Deep,Eve,T3,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-B-wIS.mzML,Nit-Deep-Eve-T3-B.mzML,wIS,neg,Nit,Deep,Eve,T3,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T3-C-noIS-neg.mzML,Nit-Deep-Eve-T3-C.mzML,noIS,neg,Nit,Deep,Eve,T3,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T3-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-C-wIS.mzML,Nit-Deep-Eve-T3-C.mzML,wIS,neg,Nit,Deep,Eve,T3,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T0-A-noIS-neg.mzML,Nit-Deep-Morn-T0-A.mzML,noIS,neg,Nit,Deep,Morn,T0,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-A-wIS.mzML,Nit-Deep-Morn-T0-A.mzML,wIS,neg,Nit,Deep,Morn,T0,A,9,2
