filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/220729_Smp_Arg-Surf-Morn-T73-B-wIS.mzML,220729_Smp_Arg-Surf-Morn-T73-B-wIS.mzML,Arg-Surf-Morn-T73-B.mzML,Smp,wIS,neg,Arg,Surf,Morn,T73,B,13,2
mzMLs/neg/220729_Smp_Arg-Surf-Morn-T73-C-noIS-neg.mzML,220729_Smp_Arg-Surf-Morn-T73-C-noIS-neg.mzML,Arg-Surf-Morn-T73-C.mzML,Smp,noIS,neg,Arg,Surf,Morn,T73,C,13,2
mzMLs/neg/220729_Smp_Arg-Surf-Morn-T73-C-wIS.mzML,220729_Smp_Arg-Surf-Morn-T73-C-wIS.mzML,Arg-Surf-Morn-T73-C.mzML,Smp,wIS,neg,Arg,Surf,Morn,T73,C,13,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T0-A-noIS-pos.mzML,Nit-Deep-Eve-T0-A.mzML,Smp,noIS,pos,Nit,Deep,Eve,T0,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-A-wIS.mzML,Nit-Deep-Eve-T0-A.mzML,Smp,wIS,pos,Nit,Deep,Eve,T0,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T0-B-noIS-pos.mzML,Nit-Deep-Eve-T0-B.mzML,Smp,noIS,pos,Nit,Deep,Eve,T0,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-B-wIS.mzML,Nit-Deep-Eve-T0-B.mzML,Smp,wIS,pos,Nit,Deep,Eve,T0,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T0-C-noIS-pos.mzML,Nit-Deep-Eve-T0-C.mzML,Smp,noIS,pos,Nit,Deep,Eve,T0,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T0-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-C-wIS.mzML,Nit-Deep-Eve-T0-C.mzML,Smp,wIS,pos,Nit,Deep,Eve,T0,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T1-A-noIS-pos.mzML,Nit-Deep-Eve-T1-A.mzML,Smp,noIS,pos,Nit,Deep,Eve,T1,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-A-wIS.mzML,Nit-Deep-Eve-T1-A.mzML,Smp,wIS,pos,Nit,Deep,Eve,T1,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T1-B-noIS-pos.mzML,Nit-Deep-Eve-T1-B.mzML,Smp,noIS,pos,Nit,Deep,Eve,T1,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-B-wIS.mzML,Nit-Deep-Eve-T1-B.mzML,Smp,wIS,pos,Nit,Deep,Eve,T1,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T1-C-noIS-pos.mzML,Nit-Deep-Eve-T1-C.mzML,Smp,noIS,pos,Nit,Deep,Eve,T1,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T1-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-C-wIS.mzML,Nit-Deep-Eve-T1-C.mzML,Smp,wIS,pos,Nit,Deep,Eve,T1,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T10-A-noIS-pos.mzML,Nit-Deep-Eve-T10-A.mzML,Smp,noIS,pos,Nit,Deep,Eve,T10,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T10-A-wIS.mzML,Nit-Deep-Eve-T10-A.mzML,Smp,wIS,pos,Nit,Deep,Eve,T10,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T10-B-noIS-pos.mzML,Nit-Deep-Eve-T10-B.mzML,Smp,noIS,pos,Nit,Deep,Eve,T10,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T10-B-wIS.mzML,Nit-Deep-Eve-T10-B.mzML,Smp,wIS,pos,Nit,Deep,Eve,T10,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T10-C-noIS-pos.mzML,Nit-Deep-Eve-T10-C.mzML,Smp,noIS,pos,Nit,Deep,Eve,T10,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T10-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T10-C-wIS.mzML,Nit-Deep-Eve-T10-C.mzML,Smp,wIS,pos,Nit,Deep,Eve,T10,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T26-A-noIS-pos.mzML,Nit-Deep-Eve-T26-A.mzML,Smp,noIS,pos,Nit,Deep,Eve,T26,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T26-A-wIS.mzML,Nit-Deep-Eve-T26-A.mzML,Smp,wIS,pos,Nit,Deep,Eve,T26,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T26-B-noIS-pos.mzML,Nit-Deep-Eve-T26-B.mzML,Smp,noIS,pos,Nit,Deep,Eve,T26,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T26-B-wIS.mzML,Nit-Deep-Eve-T26-B.mzML,Smp,wIS,pos,Nit,Deep,Eve,T26,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T26-C-noIS-pos.mzML,Nit-Deep-Eve-T26-C.mzML,Smp,noIS,pos,Nit,Deep,Eve,T26,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T26-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T26-C-wIS.mzML,Nit-Deep-Eve-T26-C.mzML,Smp,wIS,pos,Nit,Deep,Eve,T26,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T3-A-noIS-pos.mzML,Nit-Deep-Eve-T3-A.mzML,Smp,noIS,pos,Nit,Deep,Eve,T3,A,11,2
